,美国,日本,英国,加拿大,德国,法国,意大利,中国,印度,巴西,俄罗斯,南非,韩国,澳大利亚,墨西哥,印度尼西亚,沙特阿拉伯,土耳其,阿根廷,欧元区,G20总计
1980-03-31,930.21,539.5712725014662,240.1988182430865,122.52287079190884,,147.92777079012723,,,,,,,,,,,,,,147.92777079012723,2128.358503116716
1980-06-30,930.21,539.5712725014662,240.1988182430865,122.52287079190884,,147.92777079012723,,,,,,,,,,,,,,147.92777079012723,2128.358503116716
1980-09-30,930.21,539.5712725014662,240.1988182430865,122.52287079190884,,147.92777079012723,,,,,,,,,,,,,,147.92777079012723,2128.358503116716
1980-12-31,930.21,539.5712725014662,240.1988182430865,122.52287079190884,,147.92777079012723,,,,,,,,,,,,,,147.92777079012723,2128.358503116716
1981-03-31,1028.729,657.6636880950858,241.85744825160796,141.57003558261715,,137.91943686179846,,,,,,,,,,,,,,137.91943686179846,2345.6590456529084
1981-06-30,1028.729,657.6636880950858,241.85744825160796,141.57003558261715,,137.91943686179846,,,,,,,,,,,,,,137.91943686179846,2345.6590456529084
1981-09-30,1028.729,657.6636880950858,241.85744825160796,141.57003558261715,,137.91943686179846,,,,,,,,,,,,,,137.91943686179846,2345.6590456529084
1981-12-31,1028.729,657.6636880950858,241.85744825160796,141.57003558261715,,137.91943686179846,,,,,,,,,,,,,,137.91943686179846,2345.6590456529084
1982-03-31,1197.074,668.9356527527473,221.48648570929436,162.69494177676896,,151.48168690288443,,,,,,,,,,,,,,151.48168690288443,2553.15445404458
1982-06-30,1197.074,668.9356527527473,221.48648570929436,162.69494177676896,,151.48168690288443,,,,,,,,,,,,,,151.48168690288443,2553.15445404458
1982-09-30,1197.074,668.9356527527473,221.48648570929436,162.69494177676896,,151.48168690288443,,,,,,,,,,,,,,151.48168690288443,2553.15445404458
1982-12-31,1197.074,668.9356527527473,221.48648570929436,162.69494177676896,,151.48168690288443,,,,,,,,,,,,,,151.48168690288443,2553.15445404458
1983-03-31,1410.702,807.1358436279133,204.74356248294688,195.58511583901335,,153.46230626646022,,,,,,,,,,,,,,153.46230626646022,2925.0911344827937
1983-06-30,1410.702,807.1358436279133,204.74356248294688,195.58511583901335,,153.46230626646022,,,,,,,,,,,,,,153.46230626646022,2925.0911344827937
1983-09-30,1410.702,807.1358436279133,204.74356248294688,195.58511583901335,,153.46230626646022,,,,,,,,,,,,,,153.46230626646022,2925.0911344827937
1983-12-31,1410.702,807.1358436279133,204.74356248294688,195.58511583901335,,153.46230626646022,,,,,,,,,,,,,,153.46230626646022,2925.0911344827937
1984-03-31,1662.966,882.8877890389314,194.8029336525672,214.790850266389,,158.51281140058538,,,,,,,,,,,,,,158.51281140058538,3272.4731957590575
1984-06-30,1662.966,882.8877890389314,194.8029336525672,214.790850266389,,158.51281140058538,,,,,,,,,,,,,,158.51281140058538,3272.4731957590575
1984-09-30,1662.966,882.8877890389314,194.8029336525672,214.790850266389,,158.51281140058538,,,,,,,,,,,,,,158.51281140058538,3272.4731957590575
1984-12-31,1662.966,882.8877890389314,194.8029336525672,214.790850266389,,158.51281140058538,,,,,,,,,,,,,,158.51281140058538,3272.4731957590575
1985-03-31,1945.942,974.7971978629628,202.00138006930175,238.62877687294025,,174.29535471090685,,,,,,,,,,,,,,174.29535471090685,3709.960064227019
1985-06-30,1945.942,974.7971978629628,202.00138006930175,238.62877687294025,,174.29535471090685,,,,,,,,,,,,,,174.29535471090685,3709.960064227019
1985-09-30,1945.942,974.7971978629628,202.00138006930175,238.62877687294025,,174.29535471090685,,,,,,,,,,,,,,174.29535471090685,3709.960064227019
1985-12-31,1945.942,974.7971978629628,202.00138006930175,238.62877687294025,,174.29535471090685,,,,,,,,,,,,,,174.29535471090685,3709.960064227019
1986-03-31,2214.835,1570.5368871729002,248.26161165347392,262.7389096077728,,247.8120959522683,,,,,,,,,,,,,,247.8120959522683,4791.9966003386835
1986-06-30,2214.835,1570.5368871729002,248.26161165347392,262.7389096077728,,247.8120959522683,,,,,,,,,,,,,,247.8120959522683,4791.9966003386835
1986-09-30,2214.835,1570.5368871729002,248.26161165347392,262.7389096077728,,247.8120959522683,,,,,,,,,,,,,,247.8120959522683,4791.9966003386835
1986-12-31,2214.835,1570.5368871729002,248.26161165347392,262.7389096077728,,247.8120959522683,,,,,,,,,,,,,,247.8120959522683,4791.9966003386835
1987-03-31,2431.715,1957.058951447584,292.7147757803562,302.15877598793367,,321.94281336898393,,,,,,,,,,,,,,321.94281336898393,5627.533129953841
1987-06-30,2431.715,1957.058951447584,292.7147757803562,302.15877598793367,,321.94281336898393,,,,,,,,,,,,,,321.94281336898393,5627.533129953841
1987-09-30,2431.715,1957.058951447584,292.7147757803562,302.15877598793367,,321.94281336898393,,,,,,,,,,,,,,321.94281336898393,5627.533129953841
1987-12-31,2431.715,1957.058951447584,292.7147757803562,302.15877598793367,,321.94281336898393,,,,,,,,,,,,,,321.94281336898393,5627.533129953841
1988-03-31,2684.3920000000003,2248.771187085305,337.4280029348985,355.26710026814015,,350.4236256381472,855.4329917083307,,,,,,,,,,,,,1205.8566173464778,8037.571524981299
1988-06-30,2684.3920000000003,2248.771187085305,337.4280029348985,355.26710026814015,,350.4236256381472,855.4329917083307,,,,,,,,,,,,,1205.8566173464778,8037.571524981299
1988-09-30,2684.3920000000003,2248.771187085305,337.4280029348985,355.26710026814015,,350.4236256381472,855.4329917083307,,,,,,,,,,,,,1205.8566173464778,8037.571524981299
1988-12-31,2684.3920000000003,2248.771187085305,337.4280029348985,355.26710026814015,,350.4236256381472,855.4329917083307,,,,,,,,,,,,,1205.8566173464778,8037.571524981299
1989-03-31,2952.994,2042.1035081078885,301.54343743455513,402.646777643581,,361.207847223937,915.9088816596104,,,,,,,51.026884280535555,,,,,,1277.1167288835477,8304.548065233656
1989-06-30,2952.994,2042.1035081078885,301.54343743455513,402.646777643581,,361.207847223937,915.9088816596104,,,,,,,51.026884280535555,,,,,,1277.1167288835477,8304.548065233656
1989-09-30,2952.994,2042.1035081078885,301.54343743455513,402.646777643581,,361.207847223937,915.9088816596104,,,,,,,51.026884280535555,,,,,,1277.1167288835477,8304.548065233656
1989-12-31,2952.994,2042.1035081078885,301.54343743455513,402.646777643581,,361.207847223937,915.9088816596104,,,,,,,51.026884280535555,,,,,,1277.1167288835477,8304.548065233656
1990-03-31,3364.82,2014.5430915482525,311.33464204545584,439.5699840932463,,462.7018054065786,1204.1905926368745,,,,,40.836061702432815,36.23399049287884,51.095772962640645,,,,,,1666.892398043453,9592.218338931814
1990-06-30,3364.82,2014.5430915482525,311.33464204545584,439.5699840932463,,462.7018054065786,1204.1905926368745,,,,,40.836061702432815,36.23399049287884,51.095772962640645,,,,,,1666.892398043453,9592.218338931814
1990-09-30,3364.82,2014.5430915482525,311.33464204545584,439.5699840932463,,462.7018054065786,1204.1905926368745,,,,,40.836061702432815,36.23399049287884,51.095772962640645,,,,,,1666.892398043453,9592.218338931814
1990-12-31,3364.82,2014.5430915482525,311.33464204545584,439.5699840932463,,462.7018054065786,1204.1905926368745,,,,,40.836061702432815,36.23399049287884,51.095772962640645,,,,,,1666.892398043453,9592.218338931814
1991-03-31,3801.698,2275.845824780804,325.48006430335056,500.177879322685,740.6566982911032,475.53503169398914,1315.4067571333587,,207.04384771068317,,,45.85242900574539,39.43296632878046,70.43348727475657,,,52.03248585313757,,,2531.598487118451,12381.193958816842
1991-06-30,3801.698,2275.845824780804,325.48006430335056,500.177879322685,740.6566982911032,475.53503169398914,1315.4067571333587,,207.04384771068317,,,45.85242900574539,39.43296632878046,70.43348727475657,,,52.03248585313757,,,2531.598487118451,12381.193958816842
1991-09-30,3801.698,2275.845824780804,325.48006430335056,500.177879322685,740.6566982911032,475.53503169398914,1315.4067571333587,,207.04384771068317,,,45.85242900574539,39.43296632878046,70.43348727475657,,,52.03248585313757,,,2531.598487118451,12381.193958816842
1991-12-31,3801.698,2275.845824780804,325.48006430335056,500.177879322685,740.6566982911032,475.53503169398914,1315.4067571333587,,207.04384771068317,,,45.85242900574539,39.43296632878046,70.43348727475657,,,52.03248585313757,,,2531.598487118451,12381.193958816842
1992-03-31,4177.009,2657.7561129810774,391.965471919972,524.4279662447259,896.4448975579232,579.5589846406423,1494.7842584638383,,226.9984403123686,,,54.23009844972708,41.400874962275125,89.94917288190868,,,65.52662164485994,,57.10550554929232,2970.7881406624037,14227.945546271014
1992-06-30,4177.009,2657.7561129810774,391.965471919972,524.4279662447259,896.4448975579232,579.5589846406423,1494.7842584638383,,226.9984403123686,,,54.23009844972708,41.400874962275125,89.94917288190868,,,65.52662164485994,,57.10550554929232,2970.7881406624037,14227.945546271014
1992-09-30,4177.009,2657.7561129810774,391.965471919972,524.4279662447259,896.4448975579232,579.5589846406423,1494.7842584638383,,226.9984403123686,,,54.23009844972708,41.400874962275125,89.94917288190868,,,65.52662164485994,,57.10550554929232,2970.7881406624037,14227.945546271014
1992-12-31,4177.009,2657.7561129810774,391.965471919972,524.4279662447259,896.4448975579232,579.5589846406423,1494.7842584638383,,226.9984403123686,,,54.23009844972708,41.400874962275125,89.94917288190868,,,65.52662164485994,,57.10550554929232,2970.7881406624037,14227.945546271014
1993-03-31,4535.687,3304.6167061218807,402.90315896820687,548.5374390357337,946.1736434402006,632.9807423998171,1324.7337401805128,,218.76669593503533,,,58.80543812822415,42.651349477270145,95.71586765739193,,,77.91789328437888,,63.66694941898799,2903.8881260205308,15157.04475006817
1993-06-30,4535.687,3304.6167061218807,402.90315896820687,548.5374390357337,946.1736434402006,632.9807423998171,1324.7337401805128,,218.76669593503533,,,58.80543812822415,42.651349477270145,95.71586765739193,,,77.91789328437888,,63.66694941898799,2903.8881260205308,15157.04475006817
1993-09-30,4535.687,3304.6167061218807,402.90315896820687,548.5374390357337,946.1736434402006,632.9807423998171,1324.7337401805128,,218.76669593503533,,,58.80543812822415,42.651349477270145,95.71586765739193,,,77.91789328437888,,63.66694941898799,2903.8881260205308,15157.04475006817
1993-12-31,4535.687,3304.6167061218807,402.90315896820687,548.5374390357337,946.1736434402006,632.9807423998171,1324.7337401805128,,218.76669593503533,,,58.80543812822415,42.651349477270145,95.71586765739193,,,77.91789328437888,,63.66694941898799,2903.8881260205308,15157.04475006817
1994-03-31,4800.150000000001,4217.03559924976,464.45304413835265,565.329749267721,1060.5665602024844,714.8073893194721,1441.4307514399984,,244.64776373122703,,,68.79974585994457,44.65122520274545,102.35875789000345,,,91.7432045393861,,73.1798944,3216.804700961955,17105.95838620305
1994-06-30,4800.150000000001,4217.03559924976,464.45304413835265,565.329749267721,1060.5665602024844,714.8073893194721,1441.4307514399984,,244.64776373122703,,,68.79974585994457,44.65122520274545,102.35875789000345,,,91.7432045393861,,73.1798944,3216.804700961955,17105.95838620305
1994-09-30,4800.150000000001,4217.03559924976,464.45304413835265,565.329749267721,1060.5665602024844,714.8073893194721,1441.4307514399984,,244.64776373122703,,,68.79974585994457,44.65122520274545,102.35875789000345,,,91.7432045393861,,73.1798944,3216.804700961955,17105.95838620305
1994-12-31,4800.150000000001,4217.03559924976,464.45304413835265,565.329749267721,1060.5665602024844,714.8073893194721,1441.4307514399984,,244.64776373122703,,,68.79974585994457,44.65122520274545,102.35875789000345,,,91.7432045393861,,73.1798944,3216.804700961955,17105.95838620305
1995-03-31,4988.665,5131.088235650584,586.8011643522161,606.4700973768585,1433.6471931213332,922.0686860927826,1402.105704733152,158.15001760779032,255.3534062789193,,,77.05554184696528,48.0743981154281,114.65794459459454,,,106.42940283044054,,79.3421828075,3757.821583947268,19667.73055935583
1995-06-30,4988.665,5131.088235650584,586.8011643522161,606.4700973768585,1433.6471931213332,922.0686860927826,1402.105704733152,158.15001760779032,255.3534062789193,,,77.05554184696528,48.0743981154281,114.65794459459454,,,106.42940283044054,,79.3421828075,3757.821583947268,19667.73055935583
