,美国,日本,英国,加拿大,德国,法国,意大利,中国,印度,巴西,俄罗斯,南非,韩国,澳大利亚,墨西哥,印度尼西亚,沙特阿拉伯,土耳其,阿根廷,欧元区,G20总计
1980-03-31,1599.8,2099.3333333333335,,145.9539,,,,,2.588865068145348,,,0.001900836333,0.0132793911157478,0.041925,5.615080196587895e-05,,,3.60043791939495e-08,,1294.84116,5142.574419815734
1980-06-30,1599.8,2099.3333333333335,,145.9539,,,,,2.588865068145348,,,0.001900836333,0.0132793911157478,0.041925,5.615080196587895e-05,,,3.60043791939495e-08,,1294.84116,5142.574419815734
1980-09-30,1599.8,2099.3333333333335,,145.9539,,,,,2.588865068145348,,,0.001900836333,0.0132793911157478,0.041925,5.615080196587895e-05,,,3.60043791939495e-08,,1294.84116,5142.574419815734
1980-12-31,1599.8,2099.3333333333335,,145.9539,,,,,2.588865068145348,,,0.001900836333,0.0132793911157478,0.041925,5.615080196587895e-05,,,3.60043791939495e-08,,1294.84116,5142.574419815734
1981-03-31,1755.5,2316.0,,161.9083,,,,,2.933240380811016,,,0.0022409544685,0.0173359272680665,0.046605,8.321719816981671e-05,,,7.18927781244411e-08,,1429.95996,5666.3677655516385
1981-06-30,1755.5,2316.0,,161.9083,,,,,2.933240380811016,,,0.0022409544685,0.0173359272680665,0.046605,8.321719816981671e-05,,,7.18927781244411e-08,,1429.95996,5666.3677655516385
1981-09-30,1755.5,2316.0,,161.9083,,,,,2.933240380811016,,,0.0022409544685,0.0173359272680665,0.046605,8.321719816981671e-05,,,7.18927781244411e-08,,1429.95996,5666.3677655516385
1981-12-31,1755.5,2316.0,,161.9083,,,,,2.933240380811016,,,0.0022409544685,0.0173359272680665,0.046605,8.321719816981671e-05,,,7.18927781244411e-08,,1429.95996,5666.3677655516385
1982-03-31,1905.9,2498.666666666667,,165.96720000000002,,,,,3.3867341661981367,,,0.002583339616,0.0231095508528369,0.051935,0.0001461199074283,,,1.067255883907095e-07,,1596.72816,6170.726534949966
1982-06-30,1905.9,2498.666666666667,,165.96720000000002,,,,,3.3867341661981367,,,0.002583339616,0.0231095508528369,0.051935,0.0001461199074283,,,1.067255883907095e-07,,1596.72816,6170.726534949966
1982-09-30,1905.9,2498.666666666667,,165.96720000000002,,,,,3.3867341661981367,,,0.002583339616,0.0231095508528369,0.051935,0.0001461199074283,,,1.067255883907095e-07,,1596.72816,6170.726534949966
1982-12-31,1905.9,2498.666666666667,,165.96720000000002,,,,,3.3867341661981367,,,0.002583339616,0.0231095508528369,0.051935,0.0001461199074283,,,1.067255883907095e-07,,1596.72816,6170.726534949966
