因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.12637509524098642,0.12637509524098642,0.25,1.0,0.031593773810246605,3.1593773810246604
央行购金,需求端,0.02734706926010748,0.02734706926010748,0.198,1.0,0.005414719713501281,0.541471971350128
股市效应,金融端,0.26203799324204075,0.26203799324204075,0.164,1.0,0.042974230891694686,4.2974230891694685
美元指数,金融端,-0.15186766954890238,-0.15186766954890238,0.15,1.0,-0.022780150432335357,-2.2780150432335358
通胀预期,宏观端,0.0023199053150775584,0.0023199053150775584,0.12,1.0,0.000278388637809307,0.0278388637809307
地缘风险,风险端,-0.01595794362782328,-0.01595794362782328,0.088,1.0,-0.0014042990392484488,-0.1404299039248449
实际利率,金融端,0.0811734045696407,0.0811734045696407,0.03,1.0,0.002435202137089221,0.2435202137089221
汇总,,,,,,0.05851186571875729,5.851186571875729
