因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.19524137035023745,0.19524137035023745,0.25,1.0,0.04881034258755936,4.881034258755936
央行购金,需求端,0.07465962536551159,0.07465962536551159,0.198,1.0,0.014782605822371295,1.4782605822371295
股市效应,金融端,-0.10146118508841048,-0.10146118508841048,0.164,1.0,-0.01663963435449932,-1.663963435449932
美元指数,金融端,-0.17775457739989176,-0.17775457739989176,0.15,1.0,-0.026663186609983763,-2.6663186609983764
通胀预期,宏观端,-0.006705303485301337,-0.006705303485301337,0.12,1.0,-0.0008046364182361604,-0.08046364182361604
地缘风险,风险端,0.047554996608024105,0.047554996608024105,0.088,1.0,0.004184839701506121,0.41848397015061206
实际利率,金融端,0.03240154458451602,0.03240154458451602,0.03,1.0,0.0009720463375354806,0.09720463375354807
汇总,,,,,,0.024642377066253017,2.4642377066253016
