因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.09204205116351075,-0.09204205116351075,0.25,1.0,-0.023010512790877687,-2.3010512790877686
央行购金,需求端,0.04789055205551261,0.04789055205551261,0.198,1.0,0.009482329306991498,0.9482329306991497
股市效应,金融端,0.29139027246636046,0.29139027246636046,0.164,1.0,0.04778800468448312,4.778800468448312
美元指数,金融端,-0.11528065497097487,-0.11528065497097487,0.15,1.0,-0.017292098245646228,-1.7292098245646228
通胀预期,宏观端,0.1016406642217636,0.1016406642217636,0.12,1.0,0.012196879706611631,1.2196879706611632
地缘风险,风险端,0.17848588459861525,0.17848588459861525,0.088,1.0,0.01570675784467814,1.570675784467814
实际利率,金融端,-0.09059061400190008,-0.09059061400190008,0.03,1.0,-0.0027177184200570022,-0.2717718420057002
汇总,,,,,,0.04215364208618347,4.215364208618347
