因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.1146029991792322,-0.1146029991792322,0.25,1.0,-0.02865074979480805,-2.865074979480805
央行购金,需求端,-0.010803427516170958,-0.010803427516170958,0.198,1.0,-0.00213907864820185,-0.21390786482018498
股市效应,金融端,-0.27286362665367714,-0.27286362665367714,0.164,1.0,-0.04474963477120305,-4.474963477120305
美元指数,金融端,-0.0861343842328575,-0.0861343842328575,0.15,1.0,-0.012920157634928625,-1.2920157634928624
通胀预期,宏观端,0.01660318690684462,0.01660318690684462,0.12,1.0,0.0019923824288213543,0.19923824288213543
地缘风险,风险端,0.03140470953216877,0.03140470953216877,0.088,1.0,0.0027636144388308516,0.27636144388308514
实际利率,金融端,0.05718437728798234,0.05718437728798234,0.03,1.0,0.0017155313186394702,0.17155313186394702
汇总,,,,,,-0.0819880926628499,-8.19880926628499
