因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.03762619612504768,-0.03762619612504768,0.25,1.0,-0.00940654903126192,-0.940654903126192
央行购金,需求端,0.058539216631649696,0.058539216631649696,0.198,1.0,0.01159076489306664,1.159076489306664
股市效应,金融端,-0.2154454650151424,-0.2154454650151424,0.164,1.0,-0.035333056262483356,-3.5333056262483358
美元指数,金融端,0.08076894326391387,0.08076894326391387,0.15,1.0,0.012115341489587081,1.2115341489587081
通胀预期,宏观端,-0.07763480689606875,-0.07763480689606875,0.12,1.0,-0.00931617682752825,-0.931617682752825
地缘风险,风险端,0.2460660809801552,0.2460660809801552,0.088,1.0,0.021653815126253657,2.1653815126253657
实际利率,金融端,0.04306119232416436,0.04306119232416436,0.03,1.0,0.0012918357697249308,0.12918357697249308
汇总,,,,,,-0.007404024842641218,-0.7404024842641218
