因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.22187906093702928,0.22187906093702928,0.25,1.0,0.05546976523425732,5.546976523425732
央行购金,需求端,0.11162407591288341,0.11162407591288341,0.198,1.0,0.022101567030750915,2.2101567030750915
股市效应,金融端,0.08004225390625408,0.08004225390625408,0.164,1.0,0.01312692964062567,1.3126929640625669
美元指数,金融端,0.10501120656570118,0.10501120656570118,0.15,1.0,0.015751680984855177,1.5751680984855176
通胀预期,宏观端,0.14110162306973437,0.14110162306973437,0.12,1.0,0.016932194768368124,1.6932194768368123
地缘风险,风险端,0.005971017665810749,0.005971017665810749,0.088,1.0,0.0005254495545913458,0.05254495545913458
实际利率,金融端,0.07313974962249445,0.07313974962249445,0.03,1.0,0.0021941924886748334,0.21941924886748335
汇总,,,,,,0.12610177970212338,12.610177970212339
