因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.06868411173731187,0.06868411173731187,0.25,1.0,0.017171027934327968,1.7171027934327967
央行购金,需求端,-0.013029108894894594,-0.013029108894894594,0.198,1.0,-0.0025797635611891296,-0.25797635611891295
股市效应,金融端,0.2817507766587351,0.2817507766587351,0.164,1.0,0.04620712737203256,4.620712737203256
美元指数,金融端,0.07129648817639006,0.07129648817639006,0.15,1.0,0.01069447322645851,1.069447322645851
通胀预期,宏观端,0.18184968246925678,0.18184968246925678,0.12,1.0,0.021821961896310815,2.1821961896310813
地缘风险,风险端,0.21844820512829466,0.21844820512829466,0.088,1.0,0.019223442051289927,1.9223442051289927
实际利率,金融端,-0.0005250052972287089,-0.0005250052972287089,0.03,1.0,-1.5750158916861268e-05,-0.0015750158916861268
汇总,,,,,,0.11252251876031379,11.252251876031378
