因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.14779115315055905,-0.14779115315055905,0.25,1.0,-0.03694778828763976,-3.694778828763976
央行购金,需求端,0.11309228569096684,0.11309228569096684,0.198,1.0,0.022392272566811436,2.2392272566811435
股市效应,金融端,0.12411440630857029,0.12411440630857029,0.164,1.0,0.02035476263460553,2.035476263460553
美元指数,金融端,0.055152508814345524,0.055152508814345524,0.15,1.0,0.008272876322151828,0.8272876322151828
通胀预期,宏观端,0.13138110400578376,0.13138110400578376,0.12,1.0,0.01576573248069405,1.5765732480694052
地缘风险,风险端,-0.027786604479772894,-0.027786604479772894,0.088,1.0,-0.0024452211942200147,-0.24452211942200147
实际利率,金融端,-0.06038356786393184,-0.06038356786393184,0.03,1.0,-0.0018115070359179552,-0.18115070359179553
汇总,,,,,,0.025581127486485115,2.5581127486485116
