因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.09044600469728353,0.09044600469728353,0.25,1.0,0.022611501174320883,2.2611501174320883
央行购金,需求端,0.09161451555920909,0.09161451555920909,0.198,1.0,0.0181396740807234,1.8139674080723402
股市效应,金融端,-0.28764930342251854,-0.28764930342251854,0.164,1.0,-0.047174485761293045,-4.717448576129304
美元指数,金融端,0.13946844825669796,0.13946844825669796,0.15,1.0,0.020920267238504694,2.0920267238504695
通胀预期,宏观端,0.14973279224012656,0.14973279224012656,0.12,1.0,0.017967935068815187,1.7967935068815186
地缘风险,风险端,0.013701733203482835,0.013701733203482835,0.088,1.0,0.0012057525219064894,0.12057525219064893
实际利率,金融端,-0.10454375819822484,-0.10454375819822484,0.03,1.0,-0.003136312745946745,-0.3136312745946745
汇总,,,,,,0.030534331577030865,3.0534331577030867
