因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.1472191477875237,-0.1472191477875237,0.25,1.0,-0.03680478694688093,-3.6804786946880927
央行购金,需求端,0.052149460515513155,0.052149460515513155,0.198,1.0,0.010325593182071605,1.0325593182071606
股市效应,金融端,-0.049553398110732616,-0.049553398110732616,0.164,1.0,-0.00812675729016015,-0.8126757290160149
美元指数,金融端,-0.12226226633524442,-0.12226226633524442,0.15,1.0,-0.01833933995028666,-1.8339339950286662
通胀预期,宏观端,-0.06404038979989515,-0.06404038979989515,0.12,1.0,-0.007684846775987418,-0.7684846775987418
地缘风险,风险端,0.051284551421088384,0.051284551421088384,0.088,1.0,0.004513040525055778,0.45130405250557776
实际利率,金融端,0.0857274259781298,0.0857274259781298,0.03,1.0,0.0025718227793438938,0.25718227793438936
汇总,,,,,,-0.05354527447684388,-5.354527447684388
