因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.046823348913937746,-0.046823348913937746,0.25,1.0,-0.011705837228484436,-1.1705837228484437
央行购金,需求端,0.08199680920683582,0.08199680920683582,0.198,1.0,0.016235368222953492,1.6235368222953492
股市效应,金融端,0.1903333201207295,0.1903333201207295,0.164,1.0,0.031214664499799642,3.1214664499799643
美元指数,金融端,-0.005679715940188207,-0.005679715940188207,0.15,1.0,-0.000851957391028231,-0.0851957391028231
通胀预期,宏观端,0.05889517350680196,0.05889517350680196,0.12,1.0,0.007067420820816235,0.7067420820816235
地缘风险,风险端,0.022555687270135502,0.022555687270135502,0.088,1.0,0.001984900479771924,0.19849004797719239
实际利率,金融端,-0.1267243080485252,-0.1267243080485252,0.03,1.0,-0.0038017292414557558,-0.3801729241455756
汇总,,,,,,0.04014283016237287,4.014283016237287
