因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.10118470606208846,-0.10118470606208846,0.25,1.0,-0.025296176515522115,-2.5296176515522113
央行购金,需求端,0.049035382022254034,0.049035382022254034,0.198,1.0,0.009709005640406299,0.9709005640406299
股市效应,金融端,-0.27936688733086895,-0.27936688733086895,0.164,1.0,-0.04581616952226251,-4.581616952226251
美元指数,金融端,0.11826214072757368,0.11826214072757368,0.15,1.0,0.017739321109136053,1.7739321109136053
通胀预期,宏观端,-0.022366005519994916,-0.022366005519994916,0.12,1.0,-0.00268392066239939,-0.268392066239939
地缘风险,风险端,0.14875668530619457,0.14875668530619457,0.088,1.0,0.01309058830694512,1.3090588306945121
实际利率,金融端,-0.07207223097764726,-0.07207223097764726,0.03,1.0,-0.0021621669293294178,-0.21621669293294177
汇总,,,,,,-0.03541951857302596,-3.5419518573025957
