因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.0028867469122987044,-0.0028867469122987044,0.25,1.0,-0.0007216867280746761,-0.07216867280746761
央行购金,需求端,0.07646116611871591,0.07646116611871591,0.198,1.0,0.01513931089150575,1.513931089150575
股市效应,金融端,0.08011782645653681,0.08011782645653681,0.164,1.0,0.013139323538872037,1.3139323538872036
美元指数,金融端,-0.012478860573834544,-0.012478860573834544,0.15,1.0,-0.0018718290860751815,-0.18718290860751816
通胀预期,宏观端,-0.07291306898367751,-0.07291306898367751,0.12,1.0,-0.008749568278041301,-0.8749568278041301
地缘风险,风险端,0.2005907486767714,0.2005907486767714,0.088,1.0,0.017651985883555883,1.7651985883555883
实际利率,金融端,-0.06980498375706604,-0.06980498375706604,0.03,1.0,-0.002094149512711981,-0.2094149512711981
汇总,,,,,,0.03249338670903053,3.249338670903053
