因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.20488509703053062,0.20488509703053062,0.25,1.0,0.051221274257632655,5.122127425763265
央行购金,需求端,0.04444298503238986,0.04444298503238986,0.198,1.0,0.008799711036413192,0.8799711036413191
股市效应,金融端,-0.228243452437019,-0.228243452437019,0.164,1.0,-0.03743192619967112,-3.743192619967112
美元指数,金融端,0.049635675528048234,0.049635675528048234,0.15,1.0,0.007445351329207235,0.7445351329207235
通胀预期,宏观端,0.12823551458506927,0.12823551458506927,0.12,1.0,0.01538826175020831,1.538826175020831
地缘风险,风险端,0.11838315927084887,0.11838315927084887,0.088,1.0,0.010417718015834701,1.04177180158347
实际利率,金融端,0.04274179498864025,0.04274179498864025,0.03,1.0,0.0012822538496592075,0.12822538496592076
汇总,,,,,,0.05712264403928419,5.712264403928419
