因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.03606380224901294,-0.03606380224901294,0.25,1.0,-0.009015950562253235,-0.9015950562253235
央行购金,需求端,-0.04262261052909344,-0.04262261052909344,0.198,1.0,-0.008439276884760502,-0.8439276884760502
股市效应,金融端,0.0657386003879381,0.0657386003879381,0.164,1.0,0.010781130463621849,1.0781130463621849
美元指数,金融端,-0.0240623418698985,-0.0240623418698985,0.15,1.0,-0.003609351280484775,-0.3609351280484775
通胀预期,宏观端,-0.08455637462500319,-0.08455637462500319,0.12,1.0,-0.010146764955000383,-1.0146764955000382
地缘风险,风险端,0.03359393927098342,0.03359393927098342,0.088,1.0,0.0029562666558465406,0.29562666558465406
实际利率,金融端,0.07706647149166343,0.07706647149166343,0.03,1.0,0.002311994144749903,0.2311994144749903
汇总,,,,,,-0.015161952418280602,-1.5161952418280602
