因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.05751624869734645,0.05751624869734645,0.25,1.0,0.014379062174336613,1.4379062174336612
央行购金,需求端,0.09060379177903556,0.09060379177903556,0.198,1.0,0.01793955077224904,1.7939550772249042
股市效应,金融端,-0.0818222385724236,-0.0818222385724236,0.164,1.0,-0.013418847125877471,-1.341884712587747
美元指数,金融端,0.1401237289523362,0.1401237289523362,0.15,1.0,0.02101855934285043,2.101855934285043
通胀预期,宏观端,0.18873418848263343,0.18873418848263343,0.12,1.0,0.02264810261791601,2.264810261791601
地缘风险,风险端,0.025534688747609238,0.025534688747609238,0.088,1.0,0.0022470526097896127,0.22470526097896126
实际利率,金融端,-0.025687873526903632,-0.025687873526903632,0.03,1.0,-0.0007706362058071089,-0.07706362058071088
汇总,,,,,,0.06404284418545712,6.404284418545712
