因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.00018395246105498697,-0.00018395246105498697,0.25,1.0,-4.598811526374674e-05,-0.004598811526374674
央行购金,需求端,0.14014286128198322,0.14014286128198322,0.198,1.0,0.02774828653383268,2.774828653383268
股市效应,金融端,0.13919636508684308,0.13919636508684308,0.164,1.0,0.022828203874242267,2.2828203874242265
美元指数,金融端,0.009530469468962799,0.009530469468962799,0.15,1.0,0.0014295704203444199,0.14295704203444198
通胀预期,宏观端,-0.05319440786726904,-0.05319440786726904,0.12,1.0,-0.0063833289440722845,-0.6383328944072284
地缘风险,风险端,-0.0032016438991392115,-0.0032016438991392115,0.088,1.0,-0.0002817446631242506,-0.02817446631242506
实际利率,金融端,-0.13547909695795013,-0.13547909695795013,0.03,1.0,-0.004064372908738504,-0.4064372908738504
汇总,,,,,,0.04123062619722058,4.123062619722058
