因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.05909313175279765,0.05909313175279765,0.25,1.0,0.014773282938199413,1.4773282938199412
央行购金,需求端,0.035508203671709926,0.035508203671709926,0.198,1.0,0.0070306243269985655,0.7030624326998566
股市效应,金融端,-0.2847485239535429,-0.2847485239535429,0.164,1.0,-0.04669875792838103,-4.669875792838103
美元指数,金融端,-0.16223800055234344,-0.16223800055234344,0.15,1.0,-0.024335700082851516,-2.4335700082851517
通胀预期,宏观端,-0.09057124429397972,-0.09057124429397972,0.12,1.0,-0.010868549315277566,-1.0868549315277567
地缘风险,风险端,0.1409231233791341,0.1409231233791341,0.088,1.0,0.0124012348573638,1.24012348573638
实际利率,金融端,-0.07141100473091833,-0.07141100473091833,0.03,1.0,-0.0021423301419275496,-0.21423301419275495
汇总,,,,,,-0.04984019534587589,-4.984019534587588
