因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.12397936280588819,-0.12397936280588819,0.25,1.0,-0.030994840701472046,-3.099484070147205
央行购金,需求端,0.13977710745066668,0.13977710745066668,0.198,1.0,0.027675867275232004,2.7675867275232005
股市效应,金融端,0.2793792198447356,0.2793792198447356,0.164,1.0,0.04581819205453665,4.581819205453665
美元指数,金融端,0.08293907184076138,0.08293907184076138,0.15,1.0,0.012440860776114207,1.2440860776114206
通胀预期,宏观端,-0.00861586924798878,-0.00861586924798878,0.12,1.0,-0.0010339043097586536,-0.10339043097586537
地缘风险,风险端,-0.020698365798084845,-0.020698365798084845,0.088,1.0,-0.0018214561902314662,-0.1821456190231466
实际利率,金融端,0.02105825662803923,0.02105825662803923,0.03,1.0,0.0006317476988411769,0.06317476988411769
汇总,,,,,,0.05271646660326187,5.271646660326187
