因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.2130265895704372,0.2130265895704372,0.25,1.0,0.0532566473926093,5.32566473926093
央行购金,需求端,-0.00014155417022500977,-0.00014155417022500977,0.198,1.0,-2.8027725704551934e-05,-0.0028027725704551933
股市效应,金融端,-0.053770246178622166,-0.053770246178622166,0.164,1.0,-0.008818320373294036,-0.8818320373294035
美元指数,金融端,0.06444289849006701,0.06444289849006701,0.15,1.0,0.009666434773510051,0.9666434773510051
通胀预期,宏观端,-0.031360550352513256,-0.031360550352513256,0.12,1.0,-0.0037632660423015905,-0.37632660423015907
地缘风险,风险端,-0.026906027051362105,-0.026906027051362105,0.088,1.0,-0.002367730380519865,-0.2367730380519865
实际利率,金融端,-0.07756213677155799,-0.07756213677155799,0.03,1.0,-0.0023268641031467395,-0.23268641031467396
汇总,,,,,,0.04561887354115257,4.561887354115257
