因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.17297606206562502,0.17297606206562502,0.25,1.0,0.043244015516406255,4.324401551640626
央行购金,需求端,0.12921825998469866,0.12921825998469866,0.198,1.0,0.025585215476970336,2.5585215476970338
股市效应,金融端,-0.10919791501688167,-0.10919791501688167,0.164,1.0,-0.017908458062768595,-1.7908458062768595
美元指数,金融端,-0.16148182641531314,-0.16148182641531314,0.15,1.0,-0.02422227396229697,-2.422227396229697
通胀预期,宏观端,-0.031619451237417495,-0.031619451237417495,0.12,1.0,-0.0037943341484900995,-0.37943341484900994
地缘风险,风险端,0.0781323365878769,0.0781323365878769,0.088,1.0,0.006875645619733166,0.6875645619733166
实际利率,金融端,0.054503691480623284,0.054503691480623284,0.03,1.0,0.0016351107444186985,0.16351107444186985
汇总,,,,,,0.031414921183972794,3.1414921183972795
