因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,0.0324279936868144,0.0324279936868144,0.25,1.0,0.0081069984217036,0.81069984217036
央行购金,需求端,0.10703519227860274,0.10703519227860274,0.198,1.0,0.021192968071163342,2.119296807116334
股市效应,金融端,-0.18019573070498415,-0.18019573070498415,0.164,1.0,-0.029552099835617403,-2.9552099835617405
美元指数,金融端,-0.02001794655523595,-0.02001794655523595,0.15,1.0,-0.0030026919832853924,-0.30026919832853927
通胀预期,宏观端,0.07772437065861276,0.07772437065861276,0.12,1.0,0.009326924479033532,0.9326924479033532
地缘风险,风险端,-0.036064876184000685,-0.036064876184000685,0.088,1.0,-0.00317370910419206,-0.317370910419206
实际利率,金融端,0.0018862129753595969,0.0018862129753595969,0.03,1.0,5.6586389260787906e-05,0.005658638926078791
汇总,,,,,,0.002954976438066406,0.29549764380664056
