因子名称,所属端,原始数值,归一化值,优化权重,传导系数,最终贡献,贡献百分比
动量效应,技术端,-0.13368994337809442,-0.13368994337809442,0.25,1.0,-0.033422485844523606,-3.3422485844523604
央行购金,需求端,0.06817858863764836,0.06817858863764836,0.198,1.0,0.013499360550254377,1.3499360550254378
股市效应,金融端,0.10653861710536944,0.10653861710536944,0.164,1.0,0.017472333205280587,1.7472333205280588
美元指数,金融端,-0.19419425987525035,-0.19419425987525035,0.15,1.0,-0.02912913898128755,-2.912913898128755
通胀预期,宏观端,0.05362791748978432,0.05362791748978432,0.12,1.0,0.0064353500987741185,0.6435350098774119
地缘风险,风险端,0.017948732559381383,0.017948732559381383,0.088,1.0,0.0015794884652255616,0.15794884652255617
实际利率,金融端,0.01129319760236247,0.01129319760236247,0.03,1.0,0.0003387959280708741,0.03387959280708741
汇总,,,,,,-0.023226296578205637,-2.322629657820564
